#99990 lat=-72.012 lon=2.537 elev=1277 name=TROLL_I_ANTARKTIS
#30242 lat=58.9928 lon=9.9232 elev=10 name=FV301_BERG_KIRKE
#30244 lat=59.0727 lon=9.923 elev=70 name=E18_VASSBOTN
#30246 lat=59.0645 lon=9.9418 elev=65 name=E18_PAULER
26950 lat=59.6027 lon=10.4047 elev=4 name=SVELVIK
#26970 lat=59.6625 lon=10.3802 elev=7 name=FV319_SAGBUKTA
26990 lat=59.6193 lon=10.215 elev=60 name=SANDE_-_GALLEBERG
#26750 lat=59.5702 lon=10.0597 elev=45 name=FV35_HEMSDALEN_HOF
27301 lat=59.3562 lon=10.2501 elev=30 name=RAMNES_-_BERG
27315 lat=59.3808 lon=10.2397 elev=39 name=RAMNES_-_KILE_VESTRE
#27320 lat=59.3535 lon=10.3825 elev=55 name=FV650_BORRE
#27295 lat=59.3037 lon=10.1975 elev=20 name=FV307_GRAVDAL
27450 lat=59.23 lon=10.3483 elev=26 name=MELSOM
27770 lat=59.2767 lon=10.2002 elev=90 name=STOKKE_-_SOLLI
27460 lat=59.2243 lon=10.408 elev=20 name=NØTTERØY
27500 lat=59.0272 lon=10.5242 elev=6 name=FÆRDER_FYR
#30247 lat=59.1005 lon=9.771 elev=130 name=FV3_LANNER
30255 lat=59.091 lon=9.66 elev=100 name=PORSGRUNN_-_ÅS
30260 lat=59.123 lon=9.6288 elev=12 name=PORSGRUNN_BRANNSTASJON
#30280 lat=59.1255 lon=9.5077 elev=10 name=FV353_BRUMYRDAL
#30305 lat=59.2485 lon=9.6637 elev=280 name=FV32_KIKUT
30320 lat=59.1992 lon=9.5895 elev=13 name=SKIEN_-_ELSTRØM
30330 lat=59.2268 lon=9.5772 elev=41 name=GJERPEN_-_ÅRHUS
30380 lat=59.4558 lon=9.5337 elev=475 name=GODAL
30420 lat=59.1833 lon=9.5667 elev=136 name=SKIEN_-_GEITERYGGEN
#30428 lat=59.1855 lon=9.5403 elev=20 name=RV36_FJÆREKILEN
32780 lat=59.1444 lon=9.2668 elev=113 name=HØIDALEN_I_SOLUM
30530 lat=59.5688 lon=9.2643 elev=34 name=NOTODDEN
30650 lat=59.5667 lon=9.2105 elev=20 name=NOTODDEN_FLYPLASS
#31700 lat=59.8703 lon=8.9267 elev=200 name=FV37_JØNJILJO
#34095 lat=58.9817 lon=9.6068 elev=50 name=FV208_STOKKEBAKKEN
#34100 lat=58.9732 lon=9.5368 elev=70 name=EV18_ØDEGÅRDENS_VERK
34130 lat=58.8565 lon=9.5745 elev=5 name=JOMFRULAND
#34370 lat=58.9397 lon=9.3323 elev=60 name=EV18_FARSJØ
34620 lat=59.1075 lon=9.0475 elev=106 name=DRANGEDAL_II
34800 lat=59.1482 lon=8.7742 elev=235 name=TØRDAL_-_SUVDØLA
34900 lat=59.2647 lon=8.7686 elev=464 name=POSTMYR_I_DRANGEDAL
#32540 lat=59.2728 lon=9.2802 elev=50 name=RV36_ULEFOSS
32220 lat=59.5022 lon=8.9837 elev=1102 name=LIFJELL_-_ØYSTEINNATTEN
32240 lat=59.4175 lon=9.0287 elev=105 name=BØ
32060 lat=59.3822 lon=9.2128 elev=93 name=GVARV_-_NES
32061 lat=59.3822 lon=9.2119 elev=46 name=GVARV_-_NES_BIOFORSK
30860 lat=59.8861 lon=9.058 elev=514 name=BERGELIGREND
31080 lat=60.1293 lon=8.7033 elev=762 name=TESSUNGDALEN_-_BAKKHUS
31410 lat=59.88 lon=8.6663 elev=258 name=RJUKAN
31970 lat=59.8497 lon=8.6562 elev=1804 name=GAUSTATOPPEN
31850 lat=59.6033 lon=8.7133 elev=162 name=HJARTDAL
#31855 lat=59.5873 lon=8.585 elev=335 name=E134_AMBJØRNDALEN
31900 lat=59.7463 lon=8.8083 elev=464 name=TUDDAL
32350 lat=59.6478 lon=8.3768 elev=567 name=ÅMOTSDAL
32850 lat=59.4058 lon=8.473 elev=77 name=KVITESEID_-_MOEN
37150 lat=59.0523 lon=8.6537 elev=570 name=STORGAMA
37230 lat=59.0257 lon=8.5187 elev=252 name=TVEITSUND
37500 lat=59.3238 lon=8.1522 elev=532 name=FOLDSÆ
37650 lat=59.0095 lon=8.2735 elev=287 name=KILEGREND
37740 lat=59.162 lon=8.0398 elev=295 name=FYRESDAL_-_ÅLANDSLI
32890 lat=59.497 lon=8.1992 elev=560 name=HØYDALSMO_II
